date,home_team,away_team,home_score,away_score,status
2024-12-07T19:45:00Z,AS Roma,US Lecce,4,1,FINISHED
2024-12-08T11:30:00Z,ACF Fiorentina,Cagliari Calcio,1,0,FINISHED
2024-12-08T14:00:00Z,Hellas Verona FC,Empoli FC,1,4,FINISHED
2024-12-08T17:00:00Z,Venezia FC,Como 1907,2,2,FINISHED
2024-12-08T19:45:00Z,SSC Napoli,SS Lazio,0,1,FINISHED
2024-12-09T19:45:00Z,AC Monza,Udinese Calcio,1,2,FINISHED
2024-12-13T19:45:00Z,Empoli FC,Torino FC,0,1,FINISHED
2024-12-14T14:00:00Z,Cagliari Calcio,Atalanta BC,0,1,FINISHED
2024-12-14T17:00:00Z,Udinese Calcio,SSC Napoli,1,3,FINISHED
2024-12-14T19:45:00Z,Juventus FC,Venezia FC,2,2,FINISHED
2024-12-15T11:30:00Z,US Lecce,AC Monza,2,1,FINISHED
2024-12-15T14:00:00Z,Bologna FC 1909,ACF Fiorentina,1,0,FINISHED
2024-12-15T14:00:00Z,Parma Calcio 1913,Hellas Verona FC,2,3,FINISHED
2024-12-15T17:00:00Z,Como 1907,AS Roma,2,0,FINISHED
2024-12-15T19:45:00Z,AC Milan,Genoa CFC,0,0,FINISHED
2024-12-16T19:45:00Z,SS Lazio,FC Internazionale Milano,0,6,FINISHED
2024-12-20T19:45:00Z,Hellas Verona FC,AC Milan,0,1,FINISHED
2024-12-21T14:00:00Z,Torino FC,Bologna FC 1909,0,2,FINISHED
2024-12-21T17:00:00Z,Genoa CFC,SSC Napoli,1,2,FINISHED
2024-12-21T19:45:00Z,US Lecce,SS Lazio,1,2,FINISHED
2024-12-22T11:30:00Z,AS Roma,Parma Calcio 1913,5,0,FINISHED
2024-12-22T14:00:00Z,Venezia FC,Cagliari Calcio,2,1,FINISHED
2024-12-22T17:00:00Z,Atalanta BC,Empoli FC,3,2,FINISHED
2024-12-22T19:45:00Z,AC Monza,Juventus FC,1,2,FINISHED
2024-12-23T17:30:00Z,ACF Fiorentina,Udinese Calcio,1,2,FINISHED
2024-12-23T19:45:00Z,FC Internazionale Milano,Como 1907,2,0,FINISHED
2024-12-28T14:00:00Z,Empoli FC,Genoa CFC,1,2,FINISHED
2024-12-28T14:00:00Z,Parma Calcio 1913,AC Monza,2,1,FINISHED
2024-12-28T17:00:00Z,Cagliari Calcio,FC Internazionale Milano,0,3,FINISHED
2024-12-28T19:45:00Z,SS Lazio,Atalanta BC,1,1,FINISHED
2024-12-29T11:30:00Z,Udinese Calcio,Torino FC,2,2,FINISHED
2024-12-29T14:00:00Z,SSC Napoli,Venezia FC,1,0,FINISHED
2024-12-29T17:00:00Z,Juventus FC,ACF Fiorentina,2,2,FINISHED
2024-12-29T19:45:00Z,AC Milan,AS Roma,1,1,FINISHED
2024-12-30T17:30:00Z,Como 1907,US Lecce,2,0,FINISHED
2024-12-30T19:45:00Z,Bologna FC 1909,Hellas Verona FC,2,3,FINISHED
2025-01-04T14:00:00Z,Venezia FC,Empoli FC,1,1,FINISHED
2025-01-04T17:00:00Z,ACF Fiorentina,SSC Napoli,0,3,FINISHED
2025-01-04T19:45:00Z,Hellas Verona FC,Udinese Calcio,0,0,FINISHED
2025-01-05T11:30:00Z,AC Monza,Cagliari Calcio,1,2,FINISHED
2025-01-05T14:00:00Z,US Lecce,Genoa CFC,0,0,FINISHED
2025-01-05T17:00:00Z,Torino FC,Parma Calcio 1913,0,0,FINISHED
2025-01-05T19:45:00Z,AS Roma,SS Lazio,2,0,FINISHED
2025-01-10T19:45:00Z,SS Lazio,Como 1907,1,1,FINISHED
2025-01-11T14:00:00Z,Empoli FC,US Lecce,1,3,FINISHED
2025-01-11T14:00:00Z,Udinese Calcio,Atalanta BC,0,0,FINISHED
2025-01-11T17:00:00Z,Torino FC,Juventus FC,1,1,FINISHED
2025-01-11T19:45:00Z,AC Milan,Cagliari Calcio,1,1,FINISHED
2025-01-12T11:30:00Z,Genoa CFC,Parma Calcio 1913,1,0,FINISHED
2025-01-12T14:00:00Z,Venezia FC,FC Internazionale Milano,0,1,FINISHED
2025-01-12T17:00:00Z,Bologna FC 1909,AS Roma,2,2,FINISHED
