date,home_team,away_team,home_score,away_score,status
2025-04-28T18:45:00Z,SS Lazio,Parma Calcio 1913,2,2,FINISHED
2025-05-02T18:45:00Z,Torino FC,Venezia FC,1,1,FINISHED
2025-05-03T13:00:00Z,Cagliari Calcio,Udinese Calcio,1,2,FINISHED
2025-05-03T13:00:00Z,Parma Calcio 1913,Como 1907,0,1,FINISHED
2025-05-03T16:00:00Z,US Lecce,SSC Napoli,0,1,FINISHED
2025-05-03T18:45:00Z,FC Internazionale Milano,Hellas Verona FC,1,0,FINISHED
2025-05-04T10:30:00Z,Empoli FC,SS Lazio,0,1,FINISHED
2025-05-04T13:00:00Z,AC Monza,Atalanta BC,0,4,FINISHED
2025-05-04T16:00:00Z,AS Roma,ACF Fiorentina,1,0,FINISHED
2025-05-04T18:45:00Z,Bologna FC 1909,Juventus FC,1,1,FINISHED
2025-05-05T18:45:00Z,Genoa CFC,AC Milan,1,2,FINISHED
2025-05-09T18:45:00Z,AC Milan,Bologna FC 1909,3,1,FINISHED
2025-05-10T13:00:00Z,Como 1907,Cagliari Calcio,3,1,FINISHED
2025-05-10T16:00:00Z,SS Lazio,Juventus FC,1,1,FINISHED
2025-05-10T18:45:00Z,Empoli FC,Parma Calcio 1913,2,1,FINISHED
2025-05-11T10:30:00Z,Udinese Calcio,AC Monza,1,2,FINISHED
2025-05-11T13:00:00Z,Hellas Verona FC,US Lecce,1,1,FINISHED
2025-05-11T16:00:00Z,Torino FC,FC Internazionale Milano,0,2,FINISHED
2025-05-11T18:45:00Z,SSC Napoli,Genoa CFC,2,2,FINISHED
2025-05-12T16:30:00Z,Venezia FC,ACF Fiorentina,2,1,FINISHED
2025-05-12T18:45:00Z,Atalanta BC,AS Roma,2,1,FINISHED
2025-05-17T18:45:00Z,Genoa CFC,Atalanta BC,2,3,FINISHED
2025-05-18T18:45:00Z,Cagliari Calcio,Venezia FC,3,0,FINISHED
2025-05-18T18:45:00Z,ACF Fiorentina,Bologna FC 1909,3,2,FINISHED
2025-05-18T18:45:00Z,Hellas Verona FC,Como 1907,1,1,FINISHED
2025-05-18T18:45:00Z,FC Internazionale Milano,SS Lazio,2,2,FINISHED
2025-05-18T18:45:00Z,Juventus FC,Udinese Calcio,2,0,FINISHED
2025-05-18T18:45:00Z,US Lecce,Torino FC,1,0,FINISHED
2025-05-18T18:45:00Z,AC Monza,Empoli FC,1,3,FINISHED
2025-05-18T18:45:00Z,Parma Calcio 1913,SSC Napoli,0,0,FINISHED
2025-05-18T18:45:00Z,AS Roma,AC Milan,3,1,FINISHED
2025-05-23T18:45:00Z,Como 1907,FC Internazionale Milano,0,2,FINISHED
2025-05-23T18:45:00Z,SSC Napoli,Cagliari Calcio,2,0,FINISHED
2025-05-24T16:00:00Z,Bologna FC 1909,Genoa CFC,1,3,FINISHED
2025-05-24T18:45:00Z,AC Milan,AC Monza,2,0,FINISHED
2025-05-25T18:45:00Z,Atalanta BC,Parma Calcio 1913,2,3,FINISHED
2025-05-25T18:45:00Z,Empoli FC,Hellas Verona FC,1,2,FINISHED
2025-05-25T18:45:00Z,SS Lazio,US Lecce,0,1,FINISHED
2025-05-25T18:45:00Z,Torino FC,AS Roma,0,2,FINISHED
2025-05-25T18:45:00Z,Udinese Calcio,ACF Fiorentina,2,3,FINISHED
2025-05-25T18:45:00Z,Venezia FC,Juventus FC,2,3,FINISHED
